_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
1	24	C	133	504	33	94	7	25	0	0	0	0	5	22	1	2	0	0	1	1	8	25	4	7	3	4	4	5	0	0	7	28
1	24	P	182	835	50	168	20	60	0	0	0	0	10	35	6	16	3	7	1	2	4	11	2	2	3	6	6	18	0	0	15	71
10	24	C	137	438	32	84	8	15	0	0	0	0	6	9	2	6	0	0	0	0	4	8	0	0	3	4	5	10	1	2	11	45
10	24	P	221	1200	68	330	30	154	3	4	0	0	14	55	7	44	5	49	1	2	4	9	2	3	8	16	6	32	1	1	17	115
10	48	C	138	486	34	98	16	35	0	0	0	0	8	17	4	7	3	10	1	1	4	18	1	1	3	9	2	6	0	0	8	29
10	48	P	234	1192	63	309	33	144	1	1	0	0	18	60	7	25	5	56	2	2	4	24	2	3	5	28	4	8	0	0	15	102
100	24	C	90	190	21	37	9	18	4	10	0	0	2	4	2	3	1	1	0	0	3	6	2	3	1	2	0	0	0	0	6	8
100	24	P	110	286	29	49	10	16	1	3	0	0	5	7	3	5	1	1	0	0	7	9	2	2	1	1	1	1	0	0	8	20
100	48	C	107	297	24	76	10	16	1	1	0	0	5	10	2	3	2	2	0	0	6	37	2	4	2	2	1	10	0	0	3	7
100	48	P	226	1060	69	265	30	103	2	3	1	3	17	40	7	47	3	10	0	0	8	42	5	12	7	17	4	10	0	0	15	81
101	24	C	72	174	14	23	4	7	0	0	0	0	2	3	1	3	1	1	0	0	4	8	0	0	0	0	0	0	0	0	6	8
101	24	P	167	595	34	113	18	47	0	0	0	0	11	25	4	13	3	9	0	0	3	9	0	0	1	1	2	2	0	0	10	54
101	48	C	129	359	30	50	12	18	1	2	0	0	7	11	3	4	1	1	0	0	3	4	1	1	1	2	4	4	0	0	9	21
101	48	P	266	1418	67	280	30	126	1	6	0	0	19	67	6	32	3	19	1	2	8	16	5	5	6	13	3	7	0	0	15	113
102	24	C	97	262	25	43	9	19	1	1	0	0	3	5	3	7	2	6	0	0	4	7	1	1	2	2	2	2	0	0	7	12
102	24	P	172	652	50	166	25	93	0	0	0	0	13	34	6	31	5	25	1	3	4	7	2	2	2	2	4	7	0	0	13	55
102	48	C	107	326	43	96	20	30	3	3	0	0	7	8	6	13	4	6	0	0	4	19	3	4	2	8	3	6	1	1	10	28
102	48	P	217	1286	65	357	31	164	3	8	2	2	14	76	6	53	5	23	1	2	5	34	2	4	6	18	7	20	1	6	13	111
103	24	C	54	138	9	17	3	3	0	0	0	0	2	2	1	1	0	0	0	0	3	8	0	0	1	2	0	0	0	0	2	4
103	24	P	66	182	17	27	6	10	0	0	0	0	3	7	3	3	0	0	0	0	7	11	0	0	0	0	0	0	0	0	4	6
103	48	C	97	251	25	46	14	19	3	4	0	0	6	8	3	5	1	1	1	1	3	11	0	0	2	3	1	1	0	0	5	12
103	48	P	159	648	40	124	24	65	2	3	0	0	13	30	6	27	2	4	1	1	3	3	0	0	2	10	0	0	0	0	11	46
104	24	C	73	179	14	26	3	4	0	0	0	0	3	4	0	0	0	0	0	0	1	1	1	1	3	6	2	2	0	0	4	12
104	24	P	152	425	34	93	16	46	0	0	0	0	11	18	2	17	2	10	1	1	2	2	1	1	2	4	3	7	0	0	10	33
104	48	C	91	210	21	36	12	15	3	3	0	0	6	7	1	2	1	2	1	1	0	0	0	0	1	2	2	3	0	0	6	16
104	48	P	195	1143	50	252	21	124	0	0	0	0	12	52	4	43	4	23	1	6	2	4	3	4	7	14	5	8	0	0	12	98
