_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
9	NF	P	sun	0	nature	2
9	NF	P	surface	1	spatial features and properties	1
9	NF	P	tall	1	spatial dimension	1
9	NF	P	up	1	location and directions	4
9	NF	P	water	0	nature	1
9	NF	P	what	0	question	4
9	NF	P	when	0	question	4
9	NF	P	why	0	question	1
9	NF	P	wide	1	spatial dimension	1
9	NF	P	with	1	location and directions	1
90	F	C	i don't know	0	question	1
90	F	C	in	1	location and directions	1
90	F	C	right	1	location and directions	1
90	F	C	tree	0	nature	1
90	F	C	up	1	location and directions	1
90	F	P	a little	1	continuous amount	1
90	F	P	above	1	location and directions	1
90	F	P	all	1	continuous amount	1
90	F	P	around	1	location and directions	1
90	F	P	away	1	location and directions	1
90	F	P	back	1	location and directions	3
90	F	P	bump	1	spatial features and properties	1
90	F	P	by	1	location and directions	2
90	F	P	can	0	question	5
90	F	P	did	0	question	2
90	F	P	dirt	0	nature	1
90	F	P	do	0	question	15
90	F	P	does	0	question	3
90	F	P	down	1	location and directions	3
90	F	P	front	1	location and directions	1
90	F	P	how	0	question	2
90	F	P	in	1	location and directions	7
90	F	P	over	1	location and directions	1
90	F	P	past	1	location and directions	2
90	F	P	some	1	continuous amount	1
90	F	P	tree	0	nature	2
90	F	P	turn	1	orientation and transformation	4
90	F	P	under	1	location and directions	1
90	F	P	up	1	location and directions	4
90	F	P	what	0	question	19
90	F	P	where	0	question	11
90	F	P	who	0	question	4
90	F	P	will	0	question	1
90	F	P	with	1	location and directions	5
90	NF	C	around	1	location and directions	1
90	NF	C	cow	0	animal name	2
90	NF	C	over	1	location and directions	1
90	NF	C	part	1	continuous amount	1
90	NF	C	right	1	location and directions	1
90	NF	C	water	0	nature	1
90	NF	P	a lot	1	continuous amount	1
90	NF	P	all	1	continuous amount	2
90	NF	P	animal	0	animal name	1
90	NF	P	around	1	location and directions	2
90	NF	P	away	1	location and directions	1
90	NF	P	big	1	spatial dimension	2
90	NF	P	bright	0	adjective	2
90	NF	P	by	1	location and directions	1
90	NF	P	can	0	question	4
90	NF	P	circle	1	shapes	1
90	NF	P	could	0	question	5
90	NF	P	cow	0	animal name	2
90	NF	P	did	0	question	2
90	NF	P	direction	1	location and directions	1
90	NF	P	do	0	question	6
90	NF	P	does	0	question	1
90	NF	P	down	1	location and directions	2
90	NF	P	far	1	location and directions	1
90	NF	P	flat	1	spatial features and properties	1
90	NF	P	full	1	spatial dimension	2
90	NF	P	high	1	location and directions	1
90	NF	P	in	1	location and directions	6
90	NF	P	is that	0	question	1
90	NF	P	light	0	adjective	2
90	NF	P	maybe	0	question	1
90	NF	P	over	1	location and directions	1
90	NF	P	part	1	continuous amount	2
