_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
89	NF	P	191	550	45	110	26	62	4	9	1	1	11	33	7	14	3	5	0	0	2	2	3	3	0	0	0	0	3	5	11	38
9	F	C	27	32	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
9	F	P	155	423	27	51	16	30	1	1	0	0	12	26	2	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	9	19
9	NF	C	44	54	4	4	2	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
9	NF	P	146	371	38	65	22	30	5	5	1	1	9	14	4	7	3	3	0	0	1	1	3	4	0	0	0	0	3	6	9	24
90	F	C	50	76	5	5	3	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
90	F	P	191	637	29	105	18	40	0	0	0	0	13	32	3	3	1	1	1	4	0	0	2	3	0	0	0	0	0	0	9	62
90	NF	C	38	57	6	7	4	4	0	0	0	0	3	3	1	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0
90	NF	P	164	505	43	99	23	39	5	7	2	2	11	23	4	6	1	1	0	0	2	3	3	6	0	0	0	0	3	5	12	46
92	F	C	35	57	4	7	2	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
92	F	P	183	554	30	68	18	31	1	1	0	0	13	26	3	3	1	1	0	0	0	0	2	4	0	0	0	0	0	0	10	33
92	NF	C	109	208	29	38	11	13	1	1	1	1	5	6	4	5	0	0	0	0	0	0	3	4	2	2	2	2	0	0	11	17
92	NF	P	356	1862	73	286	38	136	7	13	1	3	19	93	8	23	3	4	0	0	1	1	7	25	3	5	5	6	3	4	16	109
93	F	C	19	20	5	5	3	3	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
93	F	P	137	326	25	42	15	24	1	1	0	0	12	21	1	1	1	1	0	0	0	0	2	3	1	1	0	0	0	0	7	14
93	NF	C	34	46	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
93	NF	P	136	279	30	45	15	18	3	3	0	0	7	9	2	3	3	3	0	0	1	1	3	4	0	0	0	0	0	0	11	22
94	F	C	7	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
94	F	P	184	609	30	65	18	38	0	0	0	0	15	33	1	2	1	1	1	2	2	2	3	4	0	0	0	0	0	0	7	21
94	NF	C	49	114	9	16	3	3	0	0	0	0	2	2	0	0	0	0	1	1	0	0	2	3	1	1	0	0	0	0	3	9
94	NF	P	187	701	46	103	23	46	4	6	1	1	10	26	5	9	3	4	0	0	1	1	5	18	1	1	1	1	3	5	12	31
95	F	C	34	61	2	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
95	F	P	145	365	26	43	16	26	0	0	0	0	13	22	2	3	1	1	0	0	0	0	2	3	0	0	0	0	0	0	8	14
95	NF	C	54	106	12	22	6	9	0	0	1	1	5	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	12
95	NF	P	170	522	40	87	22	47	5	8	1	1	9	27	4	6	3	5	0	0	1	2	4	7	0	0	0	0	3	4	10	27
96	F	C	14	22	1	3	1	3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	F	P	145	335	25	44	15	24	0	0	0	0	13	22	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	8	18
96	NF	C	60	131	9	13	5	5	1	1	0	0	1	1	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	8
96	NF	P	150	403	35	61	20	34	4	5	2	3	8	19	3	4	2	2	1	1	1	2	3	4	0	0	0	0	3	3	8	18
97	F	C	27	37	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	F	P	167	466	26	56	14	27	0	0	0	0	12	25	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	10	27
97	NF	C	30	37	6	7	3	3	0	0	1	1	1	1	0	0	0	0	1	1	0	0	2	3	0	0	0	0	0	0	1	1
97	NF	P	205	687	43	111	25	59	7	11	2	4	9	33	5	8	2	3	0	0	1	1	4	8	0	0	0	0	3	5	10	38
98	F	C	32	52	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
98	F	P	142	325	26	45	15	22	0	0	0	0	12	19	2	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	9	21
98	NF	C	65	129	7	12	3	7	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5
98	NF	P	180	424	39	76	21	35	4	4	1	1	10	21	4	7	2	2	0	0	1	1	3	3	1	2	0	0	3	3	10	32
99	F	C	36	51	5	7	2	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	1	1	0	0	1	2
99	F	P	154	382	28	54	17	32	0	0	0	0	14	24	1	1	1	3	1	4	0	0	2	2	0	0	1	2	0	0	8	18
99	NF	C	54	74	11	14	6	7	0	0	0	0	3	4	2	2	0	0	1	1	0	0	0	0	2	2	0	0	0	0	3	5
99	NF	P	177	473	39	71	20	32	4	4	1	1	8	17	4	5	2	2	1	3	1	1	3	3	2	3	0	0	3	3	10	29
