PATTERN	SPATIAL	CATEGORY
flip|flips|flipped|flipping	1	orientation and transformation
rotate|rotates|rotated|rotating|rotation|rotations	1	orientation and transformation
sideways	1	location and directions
starfish|starfishes|starfishy|starfish's	0	animal name
ocean|oceans	0	nature
sand|sandy|sands	0	nature
water|waters|watery	0	nature
sky|skies	0	nature
sea|seas	0	nature
seahorse|seahorses|seahorse's|seahorsey	0	animal name
whale|whales|whale's|whaley	0	animal name
barnacle|barnacles	0	nature
tail|tails	0	body part
orange|oranges|orangest|oranger|orangey|orangish	0	color
octopus|octopus's|octopi	0	animal name
head|heads	0	body part
arm|arms	0	body part
leg|legs	0	body part
tentacle|tentacles	0	body part
jellyfish|jellyfishes|jellyfish's|jellyfishy	0	animal name
shark|sharks|shark's|sharky	0	animal name
fin|fins	0	body part
sword|swords	0	body part
nose|noses	0	body part
teeth|tooth	0	body part
shiny|shine|shines	0	adjective
sea creature|sea creatures|sea creature's	0	animal name
anemone|anemones|anemone's	0	animal name
crab|crabs|crab's|crabby	0	animal name
fish|fishes|fish's|fishy	0	animal name
flower|flowers|flowering|flowery	0	nature
pink|pinks|pinker|pinkest|pinky|pinkish	0	color
green|greens|greener|greenest|greeny|greenish	0	color
leaves|leaf|leafy	0	nature
jungle	0	nature
plants|plant	0	nature
ground	0	nature
frog|frogs|frog's|froggy	0	animal name
tree|trees	0	nature
color|colors|colorful|colored	0	color
red|reds|redder|reddest|reddy|redish	0	color
vine|vines	0	nature
bright|brights|brighter|brightest|brightish	0	adjective
dark|darks|darker|darkest|darkish	0	adjective
light|lights|lighter|lightest|lightish	0	adjective
petal|petals	0	nature
blue|blues|bluer|bluest|bluey|blueish	0	color
butterfly|butterflies|butterfly's	0	color
wing|wings	0	body part
black|blacks|blacker|blackest|blackish	0	color
white|whites|whiter|whitest|whiteish	0	color
toucan|toucans|tucan|tucans|toucan's|tucan's|toucany|tucany	0	animal name
bird|birds|birdy	0	animal name
beak|beaks	0	body part
eye|eyes	0	body part
face|faces	0	body part
yellow|yellows|yellower|yellowest|yellowy|yellowish	0	color
brown|browns|browner|brownest|brownish	0	color
mossy|moss	0	adjective
branch|branches	0	nature
gray|grays|grayer|grayest|grayish	0	color
floor	0	nature
spots|spot|spotted|spotty	0	body part
mushrooms|mushroom	0	nature
animal|animals	0	animal name
snake|snakes|snakey|snake's	0	animal name
sloth|sloths|slothey|sloth's	0	animal name
smile|smiles	0	body part
mouth|mouths	0	body part
purple|purples|purpler|purplest|purple|purpleish	0	color
dots|dot|dotted|dotty	0	body part
body|bodies	0	body part
ant|ants|anty|ant's	0	animal name
jaguar|jaguars|jaguar's|jaguary	0	animal name
leopard|leopards|leopard's|leopardy	0	animal name
cheetah|cheetah's|cheetahs	0	animal name
puma|pumas|puma's	0	animal name
pig|pigs|pig's	0	animal name
cow|cows|cow's	0	animal name
chicken|chickens|chicken's	0	animal name
chick|chicks|chick's	0	animal name
duck|ducks|duck's	0	animal name
sheep|sheep's	0	animal name
cat|cats|cat's	0	animal name
horse|horses|horse's	0	animal name
barn|barns	0	nature
corn	0	nature
sun|suns|sun’s	0	nature
hair|hairs	0	body part
ear|ears	0	body part
foot|feet	0	body part
grass|grasses|grassy	0	nature
dirt|mud|muddy|dirty	0	nature
log|logs	0	nature
stick|sticks	0	nature
berry|berries	0	nature
monkey|monkeys|monkey's	0	animal name
shell|shells|seashell|seashells	0	nature
hoof|hooves	0	body part
bubbles|bubble	0	nature
spider|spiders|spider's|spidery	0	animal name
hand|hands	0	body part
tongue|tongues	0	body part
lobster|lobster's|lobsters|lobstery	0	animal name
suckers|sucker	0	body part
seaweed|seaweeds	0	nature
what	0	question
why	0	question
how	0	question
where	0	question
who	0	question
whose	0	question
when	0	question
will	0	question
which	0	question
pincher|pinchers	0	body part
swordfish|swordfish's|swordfishy	0	animal name
marlin|marlin's|marlins|marliny	0	animal name
tiger|tigers|tiger's|tigery	0	animal name
alligator|alligators|alligator's|alligatory	0	animal name
rainforest	0	nature
did	0	question
do	0	question
does	0	question
maybe	0	question
can	0	question
could	0	question
i wonder	0	question
i don't know	0	question
i'm not sure	0	question
am i	0	question
is this	0	question
is that	0	question
are these	0	question
should I	0	question
