_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
59	12	C	64	344	13	49	4	29	0	0	0	0	2	26	1	2	0	0	1	1	5	11	1	1	0	0	1	2	0	0	2	6
59	12	E	82	577	16	133	5	45	0	0	0	0	3	24	1	20	0	0	1	1	2	5	0	0	0	0	0	0	0	0	9	83
6	12	C	33	130	12	36	7	27	0	0	0	0	5	17	1	7	1	3	0	0	4	7	0	0	1	2	0	0	0	0	0	0
6	12	E	68	354	22	96	12	44	0	0	0	0	7	23	4	17	1	4	0	0	1	1	0	0	0	0	0	0	0	0	9	51
61	12	C	61	184	16	27	8	15	0	0	0	0	4	5	3	6	0	0	1	4	2	2	0	0	0	0	0	0	0	0	6	10
61	12	E	56	262	14	58	6	19	0	0	0	0	3	7	1	10	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8	39
62	12	C	74	282	13	39	5	26	0	0	0	0	2	11	1	2	0	0	2	13	2	2	0	0	1	1	0	0	0	0	5	10
62	12	E	83	514	14	124	6	56	0	0	0	0	3	25	1	22	0	0	2	9	0	0	0	0	0	0	0	0	0	0	8	68
63	12	C	44	196	9	21	5	14	0	0	0	0	3	10	1	2	0	0	1	2	2	3	0	0	0	0	0	0	0	0	2	4
63	12	E	72	563	14	139	6	47	0	0	0	0	4	24	1	20	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	92
64	12	C	40	91	11	27	4	18	0	0	0	0	2	11	1	2	0	0	1	5	2	3	1	2	0	0	0	0	0	0	4	4
64	12	E	98	631	22	151	9	58	0	0	0	0	5	33	2	20	1	1	1	4	2	2	2	2	0	0	0	0	0	0	9	89
65	12	C	72	265	26	53	9	22	0	0	0	0	4	14	4	7	0	0	1	1	6	7	3	3	3	7	1	1	0	0	4	13
65	12	E	98	624	27	182	9	59	0	0	0	0	4	39	4	19	0	0	1	1	4	4	2	2	2	4	0	0	0	0	10	113
66	12	C	56	257	18	65	6	47	0	0	0	0	4	28	0	0	1	1	1	18	6	11	0	0	3	4	0	0	0	0	3	3
66	12	E	56	491	14	126	6	43	0	0	0	0	4	24	1	14	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	83
67	12	C	23	94	2	13	2	13	0	0	0	0	1	6	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
67	12	E	44	188	9	51	2	11	0	0	0	0	1	5	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	40
68	12	C	12	39	2	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
68	12	E	85	634	13	139	5	54	0	0	0	0	4	23	1	31	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	83
7	12	C	39	100	12	16	7	9	0	0	0	0	3	3	2	4	1	1	1	1	3	3	1	1	0	0	0	0	0	0	1	3
7	12	E	77	455	21	123	9	39	0	0	0	0	3	16	4	21	1	1	1	1	2	2	1	1	0	0	0	0	0	0	9	81
70	12	C	25	65	5	5	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	2
70	12	E	78	362	15	82	7	21	0	0	0	0	6	12	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	61
